# f_(Hz) ASD(f)_(Hz^-0.5)
1.002305000000000001e+00 7.653399000000000455e-16
1.004615999999999953e+00 7.515131999999999741e-16
1.006931999999999938e+00 7.379380999999999638e-16
1.009252999999999956e+00 7.246102000000000179e-16
1.011579999999999924e+00 7.115247999999999966e-16
1.013911000000000007e+00 6.986776999999999658e-16
1.016248999999999958e+00 6.860644000000000454e-16
1.018591000000000024e+00 6.736807999999999875e-16
1.020939999999999959e+00 6.615226999999999567e-16
1.023293000000000008e+00 6.495860000000000008e-16
1.025652000000000008e+00 6.378665999999999705e-16
1.028016000000000041e+00 6.263606999999999584e-16
1.030386000000000024e+00 6.150643999999999764e-16
1.032761000000000040e+00 6.039736999999999558e-16
1.035142000000000007e+00 5.930852000000000156e-16
1.037528000000000006e+00 5.823948999999999886e-16
1.039919999999999956e+00 5.718994999999999759e-16
1.042316999999999938e+00 5.615952999999999533e-16
1.044720000000000093e+00 5.514787999999999594e-16
1.047128000000000059e+00 5.415467999999999787e-16
1.049541999999999975e+00 5.317956999999999690e-16
1.051962000000000064e+00 5.222223999999999954e-16
1.054386999999999963e+00 5.128237000000000425e-16
1.056816999999999895e+00 5.035963000000000141e-16
1.059253999999999918e+00 4.945371999999999573e-16
1.061695999999999973e+00 4.856433000000000357e-16
1.064143000000000061e+00 4.769116000000000008e-16
1.066596000000000100e+00 4.683392999999999620e-16
1.069055000000000089e+00 4.599233999999999666e-16
1.071519000000000110e+00 4.516610000000000436e-16
1.073989000000000082e+00 4.435495000000000202e-16
1.076465000000000005e+00 4.355861000000000060e-16
1.078947000000000100e+00 4.277680999999999941e-16
1.081434000000000006e+00 4.200929000000000090e-16
1.083927000000000085e+00 4.125578999999999763e-16
1.086425999999999892e+00 4.051605000000000190e-16
1.088929999999999954e+00 3.978984000000000089e-16
1.091439999999999966e+00 3.907690000000000197e-16
1.093955999999999928e+00 3.837700000000000218e-16
1.096478000000000064e+00 3.768990000000000034e-16
1.099005999999999927e+00 3.701536999999999843e-16
1.101539000000000046e+00 3.635319000000000154e-16
1.104079000000000033e+00 3.570313000000000178e-16
1.106624000000000052e+00 3.506496999999999932e-16
1.109175000000000022e+00 3.443851000000000057e-16
1.111731999999999942e+00 3.382351999999999765e-16
1.114293999999999896e+00 3.321981000000000012e-16
1.116862999999999939e+00 3.262717000000000139e-16
1.119437999999999933e+00 3.204539999999999806e-16
1.122019000000000100e+00 3.147430999999999966e-16
1.124605000000000077e+00 3.091369999999999783e-16
1.127197999999999922e+00 3.036339999999999853e-16
1.129796000000000022e+00 2.982320000000000013e-16
1.132400000000000073e+00 2.929295000000000004e-16
1.135010999999999992e+00 2.877244999999999977e-16
1.137626999999999944e+00 2.826153000000000033e-16
1.140249999999999986e+00 2.776001999999999783e-16
1.142878000000000061e+00 2.726774999999999822e-16
1.145513000000000003e+00 2.678456000000000071e-16
1.148153999999999897e+00 2.631028999999999961e-16
1.150800000000000045e+00 2.584477999999999908e-16
1.153453000000000062e+00 2.538786999999999832e-16
1.156112000000000029e+00 2.493940999999999971e-16
1.158776999999999946e+00 2.449925000000000066e-16
1.161448999999999954e+00 2.406725000000000173e-16
1.164125999999999994e+00 2.364326000000000033e-16
1.166809999999999903e+00 2.322712999999999883e-16
1.169499000000000066e+00 2.281873999999999911e-16
1.172195000000000098e+00 2.241793999999999860e-16
