#EOS gamma1 gamma2 gamma3 gamma4 p0 epsilon0 xmax 
PAL6  0.8622 -0.0677 0.0181 -0.0017 3.01e33 2.03e14 5.79
SLY   0.9865 0.1110 -0.0301 0.0022 1.64e33 2.05e14 6.73
AP1   0.4132 0.5594 -0.1270 0.0085 1.16e33 2.02e14 7.38
AP2   0.7065 0.2866 -0.0659 0.0047 1.34e33 2.02e14 7.27
AP3   0.9214 0.2097 -0.0383 0.0019 1.51e33 2.02e14 6.87
AP4   0.8651 0.1548 -0.0151 -0.0002 1.50e33 2.02e14 7.04
FPS   1.1561 -0.0468 0.0081 -0.0010 1.19e33 2.04e14 7.04
WFF1  0.6785 0.2626 -0.0215 -0.0008 1.14e33 2.04e14 7.48
WFF2  0.8079 0.2680 -0.0558 0.0039 1.32e33 2.04e14 7.25
WFF3  1.4126 -0.1797 0.0389 -0.0035 0.81e33 2.03e14 7.32
BBB2  0.7390 0.4555 -0.1406 0.0121 1.37e33 2.05e14 6.97
BPAL12 1.1081 -0.3078 0.0891 -0.0081 2.51e33 2.05e14 6.08
ENG   0.9820 0.2716 -0.0862 0.0075 1.33e33 2.04e14 6.98
MPA1  1.0215 0.1653 -0.0235 -0.0004 1.51e33 2.04e14 6.63
MS1   0.9189 0.1432 0.0122 -0.0094 4.54e33 2.04e14 5.05
MS2   0.9598 -0.0527 0.0091 -0.0035 4.10e33 2.04e14 4.77
MS1b  1.2132 -0.0648 0.0561 -0.0111 3.18e33 2.03e14 5.40
PS    1.3896 -0.8472 0.2636 -0.0218 5.49e33 2.05e14 4.77
GS1   1.8662 -1.4266 0.4450 -0.0389 3.22e33 2.04e14 6.28
GS2   1.4580 -0.7219 0.1828 -0.0117 4.06e33 2.04e14 4.99
BGN1H1  1.3450 -0.0996 -0.0833 0.0161 2.30e33 2.05e14 6.40
GNH3  1.0366 -0.0044 -0.0440 0.0075 3.77e33 2.06e14 5.26
H1    1.0653 0.0362 -0.1098 0.0179 3.17e33 2.04e14 5.04
H2    1.0743 0.2250 -0.2029 0.0290 2.96e33 2.04e14 4.98
H3    1.1340 0.0925 -0.1303 0.0190 3.12e33 2.04e14 4.91
H4    1.0526 0.1695 -0.1200 0.0150 3.16e33 2.04e14 5.21
H5    1.0106 0.2765 -0.2011 0.0270 2.97e33 2.04e14 5.09
H6    1.0650 -0.0196 -0.0474 0.0077 3.35e33 2.04e14 4.80
H7    0.9582 0.1619 -0.1294 0.0177 3.19e33 2.04e14 5.22
PCL2  1.0410 0.0173 -0.0904 0.0150 2.90e33 2.04e14 5.44
ALF1  1.0143 -0.3102 0.1809 -0.0248 1.50e33 2.05e14 6.21
ALF2  0.4613 1.5237 -0.5817 0.0571 1.50e33 2.05e14 5.79
ALF3  0.8536 0.2405 -0.0743 0.0041 1.50e33 2.05e14 6.14
ALF4  0.8806 0.0656 0.0765 -0.0177 1.50e33 2.05e14 5.97
