# f_(Hz) PSD(f)_(Hz^-1)
1.002305000000000001e+00 5.857451625320100989e-31
1.004615999999999953e+00 5.647720897742399801e-31
1.006931999999999938e+00 5.445526394316099083e-31
1.009252999999999956e+00 5.250599419440400264e-31
1.011579999999999924e+00 5.062675410150399998e-31
1.013911000000000007e+00 4.881505284772899188e-31
1.016248999999999958e+00 4.706843609473600743e-31
1.018591000000000024e+00 4.538458202886399789e-31
1.020939999999999959e+00 4.376122826152899360e-31
1.023293000000000008e+00 4.219619713960000062e-31
1.025652000000000008e+00 4.068737993955599411e-31
1.028016000000000041e+00 3.923277265044899367e-31
1.030386000000000024e+00 3.783042161473599710e-31
1.032761000000000040e+00 3.647842302916899502e-31
1.035142000000000007e+00 3.517500544590400349e-31
1.037528000000000006e+00 3.391838195460100058e-31
1.039919999999999956e+00 3.270690381002499588e-31
1.042316999999999938e+00 3.153892809820899561e-31
1.044720000000000093e+00 3.041288668494399438e-31
1.047128000000000059e+00 2.932729365902399967e-31
1.049541999999999975e+00 2.828066665384899879e-31
1.051962000000000064e+00 2.727162350617599767e-31
1.054386999999999963e+00 2.629881472816900298e-31
1.056816999999999895e+00 2.536092333736900033e-31
1.059253999999999918e+00 2.445670421838399652e-31
1.061695999999999973e+00 2.358494148348900169e-31
1.064143000000000061e+00 2.274446742145600084e-31
1.066596000000000100e+00 2.193416999244899617e-31
1.069055000000000089e+00 2.115295338675599855e-31
1.071519000000000110e+00 2.039976589210000449e-31
1.073989000000000082e+00 1.967361589502500153e-31
1.076465000000000005e+00 1.897352505132100129e-31
1.078947000000000100e+00 1.829855473776099920e-31
1.081434000000000006e+00 1.764780446304100062e-31
1.083927000000000085e+00 1.702040208524099743e-31
1.086425999999999892e+00 1.641550307602500245e-31
1.088929999999999954e+00 1.583231367225600090e-31
1.091439999999999966e+00 1.527004113610000180e-31
1.093955999999999928e+00 1.472794129000000159e-31
1.096478000000000064e+00 1.420528562009999961e-31
1.099005999999999927e+00 1.370137616236899955e-31
1.101539000000000046e+00 1.321554423176100175e-31
1.104079000000000033e+00 1.274713491796900058e-31
1.106624000000000052e+00 1.229552121100899961e-31
1.109175000000000022e+00 1.186010971020100027e-31
1.111731999999999942e+00 1.144030505190399870e-31
1.114293999999999896e+00 1.103555776436099998e-31
1.116862999999999939e+00 1.064532222208900161e-31
1.119437999999999933e+00 1.026907661159999849e-31
1.122019000000000100e+00 9.906321899761000661e-32
1.124605000000000077e+00 9.556568476899998986e-32
1.127197999999999922e+00 9.219360595599998685e-32
1.129796000000000022e+00 8.894232582400000475e-32
1.132400000000000073e+00 8.580769197024999865e-32
1.135010999999999992e+00 8.278538790025000127e-32
1.137626999999999944e+00 7.987140779409000558e-32
1.140249999999999986e+00 7.706187104003998457e-32
1.142878000000000061e+00 7.435301900624999508e-32
1.145513000000000003e+00 7.174126543936000662e-32
1.148153999999999897e+00 6.922313598840999608e-32
1.150800000000000045e+00 6.679526532483999933e-32
1.153453000000000062e+00 6.445439431368999611e-32
1.156112000000000029e+00 6.219741711480999810e-32
1.158776999999999946e+00 6.002132505625000294e-32
1.161448999999999954e+00 5.792325225625000843e-32
1.164125999999999994e+00 5.590037434276000541e-32
1.166809999999999903e+00 5.394995680368999673e-32
1.169499000000000066e+00 5.206948951875999162e-32
1.172195000000000098e+00 5.025640338435999539e-32
1.174897999999999998e+00 4.850825646681000083e-32
1.177605999999999931e+00 4.682281444163999801e-32
1.180320999999999954e+00 4.519782456483999679e-32
1.183041999999999927e+00 4.363102150416000366e-32
1.185769000000000073e+00 4.212042010276000401e-32
1.188501999999999947e+00 4.066397273960999932e-32
1.191241999999999912e+00 3.925973699649000014e-32
1.193988000000000049e+00 3.790587045249000214e-32
1.196739999999999915e+00 3.660058744384000632e-32
1.199499000000000093e+00 3.534208242600999960e-32
1.202263999999999999e+00 3.412875675608999868e-32
1.205035999999999996e+00 3.295895011599999954e-32
1.207813999999999943e+00 3.183109152129000245e-32
1.210598000000000063e+00 3.074376492099999644e-32
1.213389000000000051e+00 2.969545758169000151e-32
1.216185999999999989e+00 2.868480808281000187e-32
1.218990000000000018e+00 2.771042976024999822e-32
1.221799999999999997e+00 2.677107898968999638e-32
1.224615999999999927e+00 2.586548475625000180e-32
1.227438999999999947e+00 2.499244809999999609e-32
1.230269000000000057e+00 2.415083834916000242e-32
1.233104999999999896e+00 2.333949786528999970e-32
1.235946999999999907e+00 2.255733648100000009e-32
1.238796999999999926e+00 2.180338700408999926e-32
1.241651999999999978e+00 2.107659361284000099e-32
1.244515000000000038e+00 2.037599228025000200e-32
1.247382999999999909e+00 1.970067695280999846e-32
1.250259000000000009e+00 1.904976883681000208e-32
1.253141000000000060e+00 1.842236144099999995e-32
1.256029999999999980e+00 1.781763119929000110e-32
1.258925000000000072e+00 1.723480598596000095e-32
1.261827999999999950e+00 1.667308485049000022e-32
1.264736000000000082e+00 1.613174331663999844e-32
1.267652000000000001e+00 1.561005357603999982e-32
1.270574000000000092e+00 1.510731057924000043e-32
1.273503000000000052e+00 1.462287981000999891e-32
1.276439000000000101e+00 1.415612142025000148e-32
1.279381000000000101e+00 1.370639172049000379e-32
1.282331000000000110e+00 1.327309063921000013e-32
1.285287000000000068e+00 1.285568201240999999e-32
1.288249999999999895e+00 1.245357793936000273e-32
1.291218999999999895e+00 1.206627553155999935e-32
1.294195999999999902e+00 1.169324310609000004e-32
1.297179000000000082e+00 1.133400839768999968e-32
1.300170000000000048e+00 1.098807097600000105e-32
1.303166999999999964e+00 1.065498772900000075e-32
1.306170999999999971e+00 1.033430830083999915e-32
1.309182000000000068e+00 1.002563640960999872e-32
1.312200000000000033e+00 9.728555486233599477e-33
1.315225000000000088e+00 9.442661893689599489e-33
1.318257000000000012e+00 9.167587586150401633e-33
1.321296000000000026e+00 8.902971702913600420e-33
1.324341999999999908e+00 8.648466188236898499e-33
1.327395000000000103e+00 8.403737249609998774e-33
1.330454000000000025e+00 8.168466673384900588e-33
1.333520999999999956e+00 7.942344099228899571e-33
1.336595999999999895e+00 7.725075735608099011e-33
1.339677000000000007e+00 7.516378478702499344e-33
1.342764999999999986e+00 7.315983043590399934e-33
1.345860000000000056e+00 7.123626706496400000e-33
1.348962999999999912e+00 6.939064931102500821e-33
1.352073000000000080e+00 6.762057418792901063e-33
1.355188999999999977e+00 6.592379570640899913e-33
1.358313000000000104e+00 6.429812236932100246e-33
1.361445000000000016e+00 6.274151227011600706e-33
1.364583000000000101e+00 6.125200476595599111e-33
1.367728999999999973e+00 5.982773435592099724e-33
1.370881999999999934e+00 5.846692829868898929e-33
1.374041999999999986e+00 5.716791953680898860e-33
1.377208999999999905e+00 5.592912890208399954e-33
1.380384000000000055e+00 5.474907814464400786e-33
1.383566000000000074e+00 5.362638758401600193e-33
1.386756000000000100e+00 5.255974503610000882e-33
1.389952999999999994e+00 5.154794849609998994e-33
1.393156999999999979e+00 5.058990382496399708e-33
1.396368000000000054e+00 4.968458051544099455e-33
1.399586999999999914e+00 4.883108182977600218e-33
1.402814000000000005e+00 4.802855910969600894e-33
1.406047000000000047e+00 4.727632310528399820e-33
1.409289000000000014e+00 4.657371835603599853e-33
1.412538000000000071e+00 4.592024749670399863e-33
1.415793999999999997e+00 4.531550215904100154e-33
1.419057999999999931e+00 4.475919083336100508e-33
1.422328999999999954e+00 4.425113953540900399e-33
1.425607999999999986e+00 4.379127978000400127e-33
1.428894000000000108e+00 4.337971652358400007e-33
1.432188000000000017e+00 4.301665062926400593e-33
1.435489000000000015e+00 4.270246092294400972e-33
1.438798999999999939e+00 4.243768096524100406e-33
1.442115000000000036e+00 4.222299031808400177e-33
1.445440000000000058e+00 4.205928470796899966e-33
1.448771999999999949e+00 4.194765584340100077e-33
1.452112000000000069e+00 4.188941167320899924e-33
1.455459000000000058e+00 4.188612385860100093e-33
