# frequency hf_real hf_imag
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.356082352249991723e-20 -3.230431731426011200e-21
2.000000000000000000e+00 -2.929891885968939552e-20 1.472577728784645494e-21
3.000000000000000000e+00 -1.589476461480444008e-22 1.491903276889915478e-21
4.000000000000000000e+00 1.177977794915064011e-20 -1.850417245206137366e-20
5.000000000000000000e+00 -1.365195058085175470e-20 8.655518367445392425e-21
6.000000000000000000e+00 5.033778267812555766e-21 -9.955895207277469222e-21
7.000000000000000000e+00 2.057948651554165046e-21 8.977391666444980933e-21
8.000000000000000000e+00 8.136033581074801082e-23 -1.101657096429382668e-22
9.000000000000000000e+00 -1.516465928022064001e-22 6.281475472765278086e-22
1.000000000000000000e+01 3.561591392547118635e-23 2.246606786391684482e-23
1.100000000000000000e+01 5.333133580991768920e-23 -7.156268467985168273e-23
1.200000000000000000e+01 -3.114042309436164143e-23 -1.591631918110176614e-23
1.300000000000000000e+01 2.625566405301595643e-23 2.019616935584013432e-23
1.400000000000000000e+01 4.816291962605161063e-24 2.000375169521690525e-24
1.500000000000000000e+01 7.942624557731591486e-24 9.419540675894191600e-24
1.600000000000000000e+01 -1.749707488874512744e-23 -6.042636464721654601e-24
1.700000000000000000e+01 1.819875165161175548e-24 1.072065808550889356e-23
1.800000000000000000e+01 1.768433004078348058e-23 -8.258509941748371538e-24
1.900000000000000000e+01 -1.148407801160056393e-23 1.119220115942690801e-23
2.000000000000000000e+01 1.737959611984839865e-22 5.677235628512800877e-23
2.100000000000000000e+01 1.030513493970040770e-22 1.403639156946399719e-22
2.200000000000000000e+01 1.065314536057988465e-22 1.488762451226332768e-22
2.300000000000000000e+01 1.628956798124574429e-22 8.638749545582637883e-23
2.400000000000000000e+01 1.608444990019441273e-22 -4.891100404040739241e-23
2.500000000000000000e+01 3.217990251406946555e-23 -1.629180749158981174e-22
2.600000000000000000e+01 -1.376587700004019129e-22 -3.726195944186561911e-23
2.700000000000000000e+01 -1.748784952463300061e-23 1.385428623037253869e-22
2.800000000000000000e+01 1.284576891253577717e-22 -1.629651085631412159e-23
2.900000000000000000e+01 -7.058103156349765489e-23 -1.071640636034208952e-22
3.000000000000000000e+01 -3.493496654319376512e-23 1.124412302748694364e-22
3.100000000000000000e+01 9.765059074617677662e-23 -5.312605133720860490e-23
3.200000000000000000e+01 -1.083848851886164632e-22 -1.914543879762852305e-23
3.300000000000000000e+01 8.014221218355650628e-23 6.325288086123902492e-23
3.400000000000000000e+01 -3.856977313075289478e-23 -9.428540345866033332e-23
3.500000000000000000e+01 8.625969896845743506e-24 1.013229949790777718e-22
3.600000000000000000e+01 2.045425133178067243e-23 -9.509086526107623413e-23
3.700000000000000000e+01 -3.823836556954517698e-23 7.803365439500705195e-23
3.800000000000000000e+01 5.189404600257233727e-23 -7.283563675777077616e-23
3.900000000000000000e+01 -5.544425646986749716e-23 6.948747064568858544e-23
4.000000000000000000e+01 5.665544440793500913e-23 -6.460317746128083820e-23
4.100000000000000000e+01 -5.436901429852084522e-23 5.999153675754170088e-23
4.200000000000000000e+01 4.704705092553430527e-23 -5.610459051046445534e-23
4.300000000000000000e+01 -4.562824711909227823e-23 5.777823466218483196e-23
4.400000000000000000e+01 3.456042915741563721e-23 -6.211379175439648866e-23
4.500000000000000000e+01 -2.807151705132611021e-23 6.414981307112615327e-23
4.600000000000000000e+01 1.554460100794094641e-23 -6.583004685422516958e-23
4.700000000000000000e+01 -3.157065202789920204e-24 6.307083822967923983e-23
4.800000000000000000e+01 -7.940415433543442893e-24 -5.970500224407801071e-23
4.900000000000000000e+01 2.251261792791022923e-23 5.326165259986453572e-23
5.000000000000000000e+01 -3.551096187641623290e-23 -5.075220096635715183e-23
5.100000000000000000e+01 4.659980046604200278e-23 3.619016855164621661e-23
5.200000000000000000e+01 -5.430402893258074688e-23 -1.877046202124606583e-23
5.300000000000000000e+01 5.738995668841255638e-23 2.820912083115805465e-24
5.400000000000000000e+01 -5.122679606613234593e-23 1.447338323648488644e-23
5.500000000000000000e+01 4.599092712171972568e-23 -2.870307507089597510e-23
