# frequency hf_real hf_imag
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.933456595828239568e-21 2.098524393547731511e-20
2.000000000000000000e+00 7.683187425839449187e-21 -5.478151503394422889e-22
3.000000000000000000e+00 -1.394460275010800684e-20 -2.971194975952633996e-21
4.000000000000000000e+00 3.036479661330466611e-23 -2.182089083568393127e-21
5.000000000000000000e+00 5.471668506597554423e-21 8.828848777034429263e-22
6.000000000000000000e+00 -7.150569363003309757e-21 8.939960477942127316e-22
7.000000000000000000e+00 2.226413574376279703e-21 -9.313102937858531695e-21
8.000000000000000000e+00 1.240046321485982703e-21 4.467181605797375830e-21
9.000000000000000000e+00 -5.511952834957475950e-23 -1.598129965822042759e-23
1.000000000000000000e+01 -9.718950407385646147e-23 1.906543591049877074e-22
1.100000000000000000e+01 1.511033652210179443e-22 -9.851257374399057077e-23
1.200000000000000000e+01 -1.303651586721324933e-22 5.185711924136239927e-23
1.300000000000000000e+01 -3.527396163214312426e-23 1.422686499115795385e-22
1.400000000000000000e+01 -1.118521160203876922e-22 -5.516666499000578922e-23
1.500000000000000000e+01 -9.632519643114311015e-23 6.087021176417338272e-23
1.600000000000000000e+01 1.064495560707787644e-22 -2.959444555723925695e-23
1.700000000000000000e+01 3.327601586295464127e-25 1.014752299020472595e-22
1.800000000000000000e+01 -4.428290144554814452e-23 8.587707035909331481e-23
1.900000000000000000e+01 1.471300654502695082e-24 8.575736510641451208e-23
2.000000000000000000e+01 7.089936574531354660e-23 3.600925369544416307e-23
2.100000000000000000e+01 -4.247462320110054799e-24 -8.057408907020573090e-23
2.200000000000000000e+01 -5.543403593484605113e-23 5.903434345382017959e-23
2.300000000000000000e+01 5.631298899331012188e-23 -4.177890949919529853e-23
2.400000000000000000e+01 -3.599593551068589449e-23 4.587550267061049840e-23
2.500000000000000000e+01 1.645470312829270437e-23 -5.918572719374945024e-23
2.600000000000000000e+01 3.826245853719714123e-23 4.945483942131584383e-23
2.700000000000000000e+01 -5.592905954287673503e-23 2.937000155595861349e-24
2.800000000000000000e+01 1.534452555742476003e-23 -5.779219555115745325e-23
2.900000000000000000e+01 4.776818314518345865e-23 1.869391037821849076e-23
3.000000000000000000e+01 -1.336640530310723547e-23 4.842230785147175746e-23
3.100000000000000000e+01 -4.731488719363393779e-23 -5.629749384850331921e-24
3.200000000000000000e+01 -8.957041887524599517e-24 -4.704279050414672030e-23
